label,kernel,rep,ns_per_call
x60,fma_chain,8,20470.051
x60,fma_chain,9,20255.859
x60,fma_chain,10,20201.984
x60,div_mix,0,35394.531
x60,div_mix,1,35341.961
x60,div_mix,2,35460.125
x60,div_mix,3,35350.098
x60,div_mix,4,35435.223
x60,div_mix,5,35358.398
x60,div_mix,6,35407.715
x60,div_mix,7,35351.234
x60,div_mix,8,35349.609
x60,div_mix,9,35432.293
x60,div_mix,10,35514.484
x60,sh1add,0,10650.879
x60,sh1add,1,10600.746
x60,sh1add,2,10565.105
x60,sh1add,3,10599.770
x60,sh1add,4,10594.562
x60,sh1add,5,10585.777
x60,sh1add,6,10560.547
x60,sh1add,7,10583.656
x60,sh1add,8,10669.434
x60,sh1add,9,10572.594
x60,sh1add,10,10713.703
default-tune,load_add_chain,0,7920.898
default-tune,load_add_chain,1,7751.465
default-tune,load_add_chain,2,7863.605
default-tune,load_add_chain,3,7747.883
default-tune,load_add_chain,4,7837.566
default-tune,load_add_chain,5,7750.328
default-tune,load_add_chain,6,7821.617
default-tune,load_add_chain,7,7747.070
default-tune,load_add_chain,8,7804.852
default-tune,load_add_chain,9,7747.395
default-tune,load_add_chain,10,7813.641
default-tune,fma_chain,0,21557.457
default-tune,fma_chain,1,21579.430
default-tune,fma_chain,2,21520.344
default-tune,fma_chain,3,21492.676
default-tune,fma_chain,4,21238.930
default-tune,fma_chain,5,21461.754
default-tune,fma_chain,6,21429.848
default-tune,fma_chain,7,21345.703
default-tune,fma_chain,8,21490.070
default-tune,fma_chain,9,21263.832
default-tune,fma_chain,10,21559.246
default-tune,div_mix,0,37890.301
default-tune,div_mix,1,37938.641
default-tune,div_mix,2,37891.926
default-tune,div_mix,3,37990.559
default-tune,div_mix,4,37991.535
default-tune,div_mix,5,37898.926
default-tune,div_mix,6,37952.797
default-tune,div_mix,7,38036.133
default-tune,div_mix,8,37976.727
default-tune,div_mix,9,37901.855
default-tune,div_mix,10,37911.457
default-tune,sh1add,0,10456.543
default-tune,sh1add,1,10392.902
default-tune,sh1add,2,10446.125
default-tune,sh1add,3,10520.020
default-tune,sh1add,4,10410.645
default-tune,sh1add,5,10437.828
default-tune,sh1add,6,10425.781
default-tune,sh1add,7,10386.230
default-tune,sh1add,8,10422.691
default-tune,sh1add,9,10585.121
default-tune,sh1add,10,10383.789
eessi-14.3,load_add_chain,0,7911.621
eessi-14.3,load_add_chain,1,7747.559
eessi-14.3,load_add_chain,2,7819.172
eessi-14.3,load_add_chain,3,7746.258
eessi-14.3,load_add_chain,4,8356.281
eessi-14.3,load_add_chain,5,7744.793
eessi-14.3,load_add_chain,6,7805.504
eessi-14.3,load_add_chain,7,7742.352
eessi-14.3,load_add_chain,8,7951.824
eessi-14.3,load_add_chain,9,7742.836
eessi-14.3,load_add_chain,10,7809.082
eessi-14.3,fma_chain,0,22029.137
eessi-14.3,fma_chain,1,21887.207
eessi-14.3,fma_chain,2,22106.770
eessi-14.3,fma_chain,3,21840.984
eessi-14.3,fma_chain,4,21766.926
eessi-14.3,fma_chain,5,21801.758
eessi-14.3,fma_chain,6,21809.898
eessi-14.3,fma_chain,7,21670.898
eessi-14.3,fma_chain,8,21732.910
eessi-14.3,fma_chain,9,21740.234
eessi-14.3,fma_chain,10,21692.871
eessi-14.3,div_mix,0,37962.891
eessi-14.3,div_mix,1,38055.664
eessi-14.3,div_mix,2,37893.879
eessi-14.3,div_mix,3,37960.777
eessi-14.3,div_mix,4,37897.137
eessi-14.3,div_mix,5,38041.340
eessi-14.3,div_mix,6,37904.785
eessi-14.3,div_mix,7,38065.754
eessi-14.3,div_mix,8,37950.359
eessi-14.3,div_mix,9,37917.645
eessi-14.3,div_mix,10,38030.113
eessi-14.3,sh1add,0,10844.566
eessi-14.3,sh1add,1,10758.301
eessi-14.3,sh1add,2,10731.445
eessi-14.3,sh1add,3,10775.227
eessi-14.3,sh1add,4,10738.770
eessi-14.3,sh1add,5,10752.281
eessi-14.3,sh1add,6,10716.957
eessi-14.3,sh1add,7,10748.211
eessi-14.3,sh1add,8,10876.629
eessi-14.3,sh1add,9,10727.375
eessi-14.3,sh1add,10,10785.480
